Mine,Ndvi,Slope,Rainfall,Label,Year,FoS
Korba,0.62,23.2,378.6,Unstable,2010,1.14
Korba,0.23,11.0,829.1,Stable,2011,1.9
Korba,0.54,15.1,704.5,Unstable,2012,1.15
Korba,0.22,19.5,609.8,Stable,2013,1.69
Korba,0.37,23.8,536.1,Stable,2014,1.4
Korba,0.77,17.1,429.3,Stable,2015,1.95
Korba,0.31,24.3,574.9,Stable,2016,1.66
Korba,0.33,22.9,620.5,Unstable,2017,0.96
Korba,0.58,32.6,395.3,Stable,2018,1.71
Korba,0.21,27.3,565.7,Unstable,2019,1.04
Korba,0.28,17.1,842.5,Unstable,2020,0.86
Korba,0.25,32.5,839.3,Stable,2021,1.86
Korba,0.5,24.4,625.5,Unstable,2022,1.05
Korba,0.77,30.6,615.1,Stable,2023,1.75
Korba,0.77,12.3,342.8,Unstable,2024,1.23
Singrauli,0.45,31.4,847.7,Unstable,2010,1.04
Singrauli,0.65,23.2,864.3,Stable,2011,1.92
Singrauli,0.57,14.8,673.7,Unstable,2012,1.16
Singrauli,0.2,27.6,892.9,Stable,2013,1.64
Singrauli,0.6,17.3,746.2,Stable,2014,1.83
Singrauli,0.58,20.8,703.5,Unstable,2015,0.82
Singrauli,0.72,33.3,354.7,Stable,2016,1.54
Singrauli,0.25,26.2,589.1,Unstable,2017,0.9
Singrauli,0.5,21.5,331.1,Unstable,2018,0.82
Singrauli,0.58,31.6,697.4,Stable,2019,1.94
Singrauli,0.3,17.1,866.3,Unstable,2020,0.8
Singrauli,0.56,18.7,587.2,Stable,2021,1.78
Singrauli,0.2,16.3,689.3,Stable,2022,1.59
Singrauli,0.6,20.4,667.9,Unstable,2023,0.83
Singrauli,0.8,21.3,780.3,Unstable,2024,0.9
Talcher,0.27,11.3,301.6,Unstable,2010,0.86
Talcher,0.4,11.6,580.2,Unstable,2011,1.17
Talcher,0.43,21.3,754.8,Unstable,2012,1.23
Talcher,0.63,32.6,592.5,Stable,2013,1.73
Talcher,0.52,19.6,552.8,Stable,2014,1.52
Talcher,0.51,11.4,357.3,Unstable,2015,0.8
Talcher,0.5,22.4,646.1,Stable,2016,1.49
Talcher,0.22,10.4,376.9,Stable,2017,1.47
Talcher,0.37,10.8,747.0,Unstable,2018,0.84
Talcher,0.71,11.2,562.1,Unstable,2019,1.15
Talcher,0.49,13.7,372.8,Stable,2020,1.47
Talcher,0.23,24.3,486.1,Unstable,2021,1.21
Talcher,0.46,31.9,663.9,Stable,2022,1.6
Talcher,0.42,32.0,774.3,Stable,2023,1.59
Talcher,0.7,15.9,737.9,Stable,2024,1.91
Dhanbad,0.79,22.3,438.3,Stable,2010,1.55
Dhanbad,0.21,32.8,403.1,Stable,2011,1.35
Dhanbad,0.56,24.3,372.1,Unstable,2012,1.24
Dhanbad,0.5,25.7,439.7,Unstable,2013,1.16
Dhanbad,0.66,15.6,713.4,Stable,2014,1.75
Dhanbad,0.47,17.5,887.3,Stable,2015,1.34
Dhanbad,0.76,33.3,315.2,Stable,2016,1.75
Dhanbad,0.47,34.0,398.0,Unstable,2017,1.07
Dhanbad,0.5,27.7,687.6,Unstable,2018,1.21
Dhanbad,0.48,23.9,640.6,Unstable,2019,0.89
Dhanbad,0.61,32.3,780.8,Stable,2020,1.62
Dhanbad,0.41,18.9,625.9,Stable,2021,1.75
Dhanbad,0.38,19.7,516.7,Stable,2022,1.64
Dhanbad,0.4,19.9,631.2,Stable,2023,1.83
Dhanbad,0.74,24.4,404.8,Unstable,2024,1.2
Jharia,0.39,32.2,751.8,Unstable,2010,1.29
Jharia,0.79,16.1,525.1,Stable,2011,1.35
Jharia,0.78,26.9,868.5,Stable,2012,1.55
Jharia,0.41,16.4,547.3,Unstable,2013,1.24
Jharia,0.32,23.4,760.6,Unstable,2014,1.06
Jharia,0.65,17.5,501.7,Stable,2015,1.41
Jharia,0.24,24.1,402.4,Unstable,2016,1.21
Jharia,0.23,23.7,435.2,Unstable,2017,0.89
Jharia,0.25,22.5,619.5,Unstable,2018,0.92
Jharia,0.5,12.4,390.5,Unstable,2019,1.26
Jharia,0.73,16.6,740.8,Unstable,2020,0.99
Jharia,0.42,34.6,785.5,Stable,2021,1.83
Jharia,0.44,11.4,681.7,Unstable,2022,0.8
Jharia,0.27,28.6,845.4,Stable,2023,1.89
Jharia,0.76,12.8,381.2,Stable,2024,1.69
Raniganj,0.39,26.4,747.2,Unstable,2010,1.01
Raniganj,0.76,11.4,471.1,Stable,2011,1.37
Raniganj,0.62,25.6,461.4,Unstable,2012,0.89
Raniganj,0.41,28.7,685.3,Unstable,2013,0.84
Raniganj,0.69,17.5,823.1,Stable,2014,1.66
Raniganj,0.53,22.0,305.2,Stable,2015,1.86
Raniganj,0.51,32.3,504.9,Stable,2016,1.35
Raniganj,0.28,11.2,830.3,Unstable,2017,0.93
Raniganj,0.21,14.3,743.7,Stable,2018,1.8
Raniganj,0.7,13.1,377.8,Stable,2019,1.96
Raniganj,0.63,32.3,717.4,Unstable,2020,1.29
Raniganj,0.27,31.1,751.8,Unstable,2021,1.18
Raniganj,0.67,17.5,490.4,Unstable,2022,1.22
Raniganj,0.66,11.9,509.0,Unstable,2023,1.22
Raniganj,0.21,21.0,611.0,Stable,2024,1.88
Nagpur,0.4,20.6,302.4,Stable,2010,1.71
Nagpur,0.3,17.3,624.3,Stable,2011,1.74
Nagpur,0.63,12.0,515.0,Stable,2012,1.77
Nagpur,0.54,14.7,318.8,Stable,2013,1.76
Nagpur,0.66,12.9,362.9,Stable,2014,1.3
Nagpur,0.62,21.7,349.0,Unstable,2015,1.05
Nagpur,0.24,23.8,315.0,Stable,2016,1.45
Nagpur,0.71,16.4,324.4,Stable,2017,1.42
Nagpur,0.62,25.0,514.3,Unstable,2018,1.0
Nagpur,0.32,14.9,326.1,Unstable,2019,1.08
Nagpur,0.27,13.3,355.8,Stable,2020,1.49
Nagpur,0.8,11.2,466.1,Unstable,2021,1.25
Nagpur,0.21,21.7,553.9,Stable,2022,1.63
Nagpur,0.49,34.2,450.7,Unstable,2023,1.27
Nagpur,0.33,26.4,809.7,Stable,2024,1.83
Wardha,0.4,33.9,431.8,Stable,2010,1.81
Wardha,0.44,25.5,493.1,Stable,2011,1.42
Wardha,0.4,32.9,721.1,Stable,2012,1.97
Wardha,0.25,34.1,539.2,Stable,2013,1.72
Wardha,0.74,34.8,701.5,Stable,2014,1.36
Wardha,0.33,12.7,830.7,Stable,2015,1.45
Wardha,0.57,10.6,580.1,Unstable,2016,0.88
Wardha,0.34,18.6,596.6,Stable,2017,1.78
Wardha,0.26,32.3,795.0,Stable,2018,1.45
Wardha,0.66,30.0,442.8,Stable,2019,1.55
Wardha,0.79,30.7,300.6,Stable,2020,1.73
Wardha,0.36,23.1,361.6,Stable,2021,1.38
Wardha,0.31,16.9,348.6,Stable,2022,1.79
Wardha,0.45,18.4,405.3,Stable,2023,1.86
Wardha,0.32,30.8,540.2,Stable,2024,1.79
Godda,0.54,23.6,400.1,Stable,2010,1.79
Godda,0.34,32.8,651.1,Unstable,2011,0.96
Godda,0.55,20.0,518.4,Unstable,2012,1.14
Godda,0.52,26.9,870.4,Stable,2013,1.87
Godda,0.33,28.9,800.1,Stable,2014,1.7
Godda,0.79,13.3,813.2,Stable,2015,1.94
Godda,0.32,12.7,800.3,Unstable,2016,0.95
Godda,0.6,17.6,519.9,Stable,2017,1.4
Godda,0.74,22.0,337.1,Unstable,2018,1.01
Godda,0.39,34.1,376.5,Stable,2019,1.69
Godda,0.43,23.3,357.7,Unstable,2020,0.92
Godda,0.38,28.6,498.8,Unstable,2021,1.09
Godda,0.42,32.9,675.4,Stable,2022,1.94
Godda,0.4,13.8,760.9,Unstable,2023,0.85
Godda,0.55,14.0,649.9,Stable,2024,1.96
Jharsuguda,0.26,25.5,676.6,Stable,2010,1.67
Jharsuguda,0.37,33.1,874.4,Stable,2011,1.56
Jharsuguda,0.33,33.7,632.5,Unstable,2012,1.28
Jharsuguda,0.49,32.5,393.5,Stable,2013,1.36
Jharsuguda,0.26,11.9,376.6,Stable,2014,1.43
Jharsuguda,0.7,14.7,690.5,Stable,2015,1.64
Jharsuguda,0.21,13.7,634.3,Stable,2016,1.57
Jharsuguda,0.27,17.7,769.1,Stable,2017,1.7
Jharsuguda,0.8,17.4,624.2,Stable,2018,1.87
Jharsuguda,0.57,34.2,783.1,Stable,2019,1.81
Jharsuguda,0.26,23.0,315.9,Unstable,2020,1.03
Jharsuguda,0.24,32.0,665.8,Unstable,2021,1.21
Jharsuguda,0.42,12.2,538.6,Unstable,2022,0.93
Jharsuguda,0.45,15.0,364.9,Unstable,2023,1.06
Jharsuguda,0.78,15.9,856.9,Stable,2024,1.74
Karanpura,0.22,20.5,522.2,Stable,2010,1.56
Karanpura,0.36,21.5,710.2,Stable,2011,1.31
Karanpura,0.74,15.3,607.2,Stable,2012,1.36
Karanpura,0.76,34.1,455.0,Unstable,2013,0.81
Karanpura,0.31,17.6,587.3,Stable,2014,1.31
Karanpura,0.69,15.3,322.8,Stable,2015,1.55
Karanpura,0.64,33.9,324.7,Stable,2016,1.95
Karanpura,0.45,24.2,764.8,Unstable,2017,1.17
Karanpura,0.41,15.1,885.8,Unstable,2018,0.81
Karanpura,0.31,17.0,338.8,Unstable,2019,0.94
Karanpura,0.21,24.6,487.9,Stable,2020,1.56
Karanpura,0.21,30.9,781.3,Stable,2021,1.42
Karanpura,0.52,17.0,346.5,Stable,2022,1.35
Karanpura,0.58,21.6,883.6,Stable,2023,1.33
Karanpura,0.53,17.7,884.5,Unstable,2024,0.84
Bokaro,0.55,16.8,425.5,Stable,2010,1.77
Bokaro,0.73,29.7,702.4,Unstable,2011,0.97
Bokaro,0.7,24.3,460.0,Unstable,2012,0.87
Bokaro,0.26,22.4,758.8,Stable,2013,1.83
Bokaro,0.27,18.6,460.3,Stable,2014,1.83
Bokaro,0.3,28.2,555.1,Stable,2015,1.97
Bokaro,0.44,26.9,530.3,Stable,2016,1.7
Bokaro,0.49,28.9,822.4,Stable,2017,1.48
Bokaro,0.26,31.3,726.9,Stable,2018,1.33
Bokaro,0.53,23.0,742.6,Stable,2019,1.95
Bokaro,0.38,29.9,431.4,Unstable,2020,1.14
Bokaro,0.46,32.3,552.4,Unstable,2021,0.85
Bokaro,0.66,11.7,731.6,Unstable,2022,1.27
Bokaro,0.54,31.1,622.4,Unstable,2023,1.0
Bokaro,0.33,21.0,823.7,Stable,2024,1.58
Chirimiri,0.75,28.0,306.0,Stable,2010,1.86
Chirimiri,0.6,18.5,758.4,Stable,2011,1.67
Chirimiri,0.3,23.4,570.1,Stable,2012,1.37
Chirimiri,0.66,34.8,552.1,Stable,2013,1.61
Chirimiri,0.54,28.0,501.5,Unstable,2014,0.93
Chirimiri,0.44,23.2,446.2,Unstable,2015,1.29
Chirimiri,0.66,32.8,495.1,Unstable,2016,1.24
Chirimiri,0.79,24.6,533.2,Unstable,2017,1.18
Chirimiri,0.37,26.1,645.3,Unstable,2018,1.05
Chirimiri,0.76,18.0,439.9,Stable,2019,1.37
Chirimiri,0.68,32.0,517.4,Unstable,2020,1.25
Chirimiri,0.28,29.7,472.0,Unstable,2021,1.01
Chirimiri,0.49,18.0,504.7,Unstable,2022,0.87
Chirimiri,0.34,27.3,478.4,Unstable,2023,1.26
Chirimiri,0.7,17.4,302.6,Stable,2024,1.51
Rajmahal,0.32,15.9,538.5,Unstable,2010,1.11
Rajmahal,0.32,31.2,568.6,Stable,2011,1.88
Rajmahal,0.33,14.1,896.1,Stable,2012,1.48
Rajmahal,0.65,23.5,624.8,Unstable,2013,0.88
Rajmahal,0.21,30.6,614.2,Stable,2014,1.72
Rajmahal,0.4,13.1,413.1,Stable,2015,1.46
Rajmahal,0.35,24.3,463.5,Unstable,2016,1.09
Rajmahal,0.26,26.6,486.0,Stable,2017,1.77
Rajmahal,0.29,30.4,595.9,Stable,2018,1.45
Rajmahal,0.3,24.7,471.2,Unstable,2019,0.91
Rajmahal,0.34,11.5,404.1,Unstable,2020,1.05
Rajmahal,0.21,22.4,798.2,Unstable,2021,0.9
Rajmahal,0.59,26.5,358.3,Stable,2022,1.67
Rajmahal,0.39,28.4,729.9,Stable,2023,1.7
Rajmahal,0.79,24.8,592.8,Unstable,2024,0.81
Ib Valley,0.37,17.5,700.4,Stable,2010,1.8
Ib Valley,0.75,10.9,356.3,Stable,2011,1.5
Ib Valley,0.64,19.5,399.3,Stable,2012,1.93
Ib Valley,0.72,15.8,658.6,Unstable,2013,0.94
Ib Valley,0.72,33.4,655.3,Stable,2014,1.79
Ib Valley,0.57,15.4,743.6,Stable,2015,1.34
Ib Valley,0.79,14.5,612.3,Stable,2016,1.86
Ib Valley,0.26,24.3,569.5,Unstable,2017,0.85
Ib Valley,0.71,16.0,860.6,Stable,2018,1.99
Ib Valley,0.24,16.5,695.0,Stable,2019,1.53
Ib Valley,0.55,18.9,805.1,Unstable,2020,0.99
Ib Valley,0.47,12.7,643.6,Stable,2021,1.86
Ib Valley,0.25,19.2,305.0,Stable,2022,1.62
Ib Valley,0.22,10.9,824.8,Stable,2023,1.92
Ib Valley,0.34,22.4,744.6,Unstable,2024,1.26
Gevra,0.8,26.4,689.6,Stable,2010,1.79
Gevra,0.29,23.3,405.5,Unstable,2011,1.0
Gevra,0.59,11.8,839.0,Stable,2012,1.98
Gevra,0.59,34.4,714.8,Stable,2013,1.91
Gevra,0.47,14.7,372.2,Unstable,2014,0.93
Gevra,0.77,28.1,740.0,Stable,2015,1.93
Gevra,0.78,30.9,340.0,Stable,2016,1.66
Gevra,0.45,19.5,574.4,Unstable,2017,0.86
Gevra,0.61,33.7,575.6,Stable,2018,1.71
Gevra,0.35,23.3,432.9,Stable,2019,1.72
Gevra,0.23,10.9,710.9,Stable,2020,1.96
Gevra,0.6,31.6,739.4,Stable,2021,1.58
Gevra,0.49,28.5,894.9,Unstable,2022,0.93
Gevra,0.62,21.2,404.9,Stable,2023,1.47
Gevra,0.51,31.7,545.9,Stable,2024,1.65
Kusmunda,0.4,10.6,801.2,Stable,2010,1.56
Kusmunda,0.5,11.4,361.3,Stable,2011,1.38
Kusmunda,0.55,31.7,746.7,Unstable,2012,0.96
Kusmunda,0.39,22.9,639.8,Stable,2013,1.75
Kusmunda,0.27,30.3,466.6,Unstable,2014,0.9
Kusmunda,0.49,13.7,627.9,Unstable,2015,1.22
Kusmunda,0.28,22.2,736.6,Stable,2016,1.47
Kusmunda,0.37,32.2,876.7,Stable,2017,1.54
Kusmunda,0.23,24.9,512.4,Unstable,2018,1.11
Kusmunda,0.48,20.4,497.8,Stable,2019,1.86
Kusmunda,0.54,11.6,647.9,Stable,2020,1.58
Kusmunda,0.54,11.1,703.7,Stable,2021,1.73
Kusmunda,0.26,30.4,649.6,Stable,2022,1.93
Kusmunda,0.47,24.2,393.2,Unstable,2023,0.83
Kusmunda,0.72,28.4,848.0,Stable,2024,1.87
Dipka,0.55,14.8,382.3,Stable,2010,1.97
Dipka,0.42,24.8,661.1,Stable,2011,1.89
Dipka,0.4,10.7,844.5,Stable,2012,1.97
Dipka,0.38,17.9,489.0,Stable,2013,1.88
Dipka,0.59,29.5,461.5,Unstable,2014,1.08
Dipka,0.53,13.3,485.4,Unstable,2015,1.05
Dipka,0.68,19.4,598.8,Unstable,2016,1.22
Dipka,0.7,23.4,788.4,Unstable,2017,1.04
Dipka,0.42,26.2,480.7,Stable,2018,1.89
Dipka,0.24,22.0,781.3,Unstable,2019,0.83
Dipka,0.67,27.6,792.3,Stable,2020,1.8
Dipka,0.72,28.6,643.3,Stable,2021,1.87
Dipka,0.24,23.0,826.4,Stable,2022,1.83
Dipka,0.7,27.6,595.4,Unstable,2023,1.24
Dipka,0.25,12.9,879.9,Unstable,2024,1.21
Amlohri,0.49,22.7,650.2,Unstable,2010,0.93
Amlohri,0.57,11.5,629.2,Stable,2011,1.5
Amlohri,0.76,12.5,834.6,Unstable,2012,1.07
Amlohri,0.67,11.9,771.8,Unstable,2013,0.92
Amlohri,0.53,30.2,793.1,Stable,2014,1.54
Amlohri,0.5,29.6,414.3,Stable,2015,1.71
Amlohri,0.66,34.0,639.1,Stable,2016,1.99
Amlohri,0.68,11.6,386.2,Unstable,2017,0.96
Amlohri,0.77,23.1,842.4,Unstable,2018,1.08
Amlohri,0.4,31.2,720.2,Stable,2019,1.57
Amlohri,0.5,28.8,735.7,Stable,2020,1.44
Amlohri,0.5,19.9,733.1,Unstable,2021,1.15
Amlohri,0.62,29.9,777.6,Stable,2022,1.71
Amlohri,0.63,29.1,765.3,Stable,2023,1.45
Amlohri,0.8,27.6,456.1,Stable,2024,1.87
Jayant,0.3,31.0,690.0,Stable,2010,1.35
Jayant,0.49,31.5,353.7,Stable,2011,1.55
Jayant,0.64,10.5,858.4,Unstable,2012,1.23
Jayant,0.5,29.7,469.4,Unstable,2013,1.01
Jayant,0.77,10.9,317.8,Stable,2014,1.42
Jayant,0.67,27.0,722.3,Unstable,2015,1.18
Jayant,0.62,33.6,514.2,Unstable,2016,1.03
Jayant,0.34,32.5,302.2,Stable,2017,1.42
Jayant,0.31,33.3,312.2,Unstable,2018,1.01
Jayant,0.68,20.6,348.4,Stable,2019,1.69
Jayant,0.69,29.7,467.9,Stable,2020,1.46
Jayant,0.32,31.0,804.4,Stable,2021,1.66
Jayant,0.29,17.9,397.1,Stable,2022,1.53
Jayant,0.55,20.9,872.3,Stable,2023,1.63
Jayant,0.74,13.5,528.3,Stable,2024,1.45
Nigahi,0.39,10.3,832.5,Stable,2010,1.69
Nigahi,0.41,17.4,698.4,Unstable,2011,0.97
Nigahi,0.55,14.6,458.3,Unstable,2012,1.2
Nigahi,0.34,24.9,662.0,Stable,2013,1.38
Nigahi,0.51,15.1,394.4,Stable,2014,1.37
Nigahi,0.79,16.0,870.6,Unstable,2015,1.01
Nigahi,0.31,32.3,626.4,Unstable,2016,1.11
Nigahi,0.65,16.7,424.1,Stable,2017,1.39
Nigahi,0.45,21.8,646.9,Stable,2018,1.66
Nigahi,0.25,27.3,794.7,Stable,2019,1.33
Nigahi,0.45,23.4,848.2,Stable,2020,1.4
Nigahi,0.58,25.6,864.5,Unstable,2021,1.11
Nigahi,0.59,15.5,648.8,Unstable,2022,1.08
Nigahi,0.28,14.7,555.8,Unstable,2023,0.8
Nigahi,0.35,19.5,333.9,Stable,2024,1.94
Bina,0.8,16.3,546.9,Unstable,2010,1.09
Bina,0.41,20.4,740.6,Stable,2011,1.99
Bina,0.27,29.9,715.6,Stable,2012,1.78
Bina,0.29,18.6,727.2,Unstable,2013,0.89
Bina,0.3,31.1,558.2,Stable,2014,1.52
Bina,0.53,10.0,376.5,Stable,2015,1.3
Bina,0.49,24.6,516.8,Stable,2016,1.63
Bina,0.5,25.5,587.6,Stable,2017,1.91
Bina,0.71,10.2,807.6,Stable,2018,1.38
Bina,0.7,18.5,882.0,Stable,2019,1.75
Bina,0.53,10.1,650.4,Unstable,2020,0.88
Bina,0.7,28.4,611.9,Stable,2021,1.9
Bina,0.8,28.6,340.5,Unstable,2022,0.92
Bina,0.62,24.4,787.5,Unstable,2023,1.28
Bina,0.7,16.9,768.4,Stable,2024,1.35
Gorbi,0.71,16.4,531.3,Stable,2010,1.67
Gorbi,0.68,20.2,332.7,Stable,2011,1.51
Gorbi,0.31,28.4,486.3,Unstable,2012,1.15
Gorbi,0.65,20.4,353.1,Stable,2013,1.75
Gorbi,0.58,30.5,639.6,Unstable,2014,0.96
Gorbi,0.39,26.1,564.8,Unstable,2015,1.19
Gorbi,0.68,27.3,688.6,Stable,2016,1.32
Gorbi,0.28,25.9,377.5,Stable,2017,1.59
Gorbi,0.23,26.3,606.2,Unstable,2018,0.84
Gorbi,0.41,11.8,573.8,Unstable,2019,1.01
Gorbi,0.6,23.1,405.5,Unstable,2020,1.02
Gorbi,0.56,33.4,639.7,Unstable,2021,0.81
Gorbi,0.8,23.4,642.6,Stable,2022,1.86
Gorbi,0.21,28.5,388.7,Stable,2023,1.61
Gorbi,0.22,16.7,830.4,Unstable,2024,1.09
Krishnashila,0.26,28.8,796.0,Stable,2010,1.75
Krishnashila,0.33,16.0,495.9,Unstable,2011,0.81
Krishnashila,0.75,16.5,773.4,Stable,2012,1.53
Krishnashila,0.41,29.1,774.5,Stable,2013,1.98
Krishnashila,0.21,10.4,617.2,Unstable,2014,1.1
Krishnashila,0.28,30.7,497.9,Unstable,2015,1.01
Krishnashila,0.46,18.3,632.1,Stable,2016,1.54
Krishnashila,0.32,16.7,673.0,Stable,2017,1.85
Krishnashila,0.39,17.9,579.3,Stable,2018,1.72
Krishnashila,0.56,15.5,318.1,Stable,2019,1.52
Krishnashila,0.76,31.2,826.3,Stable,2020,1.76
Krishnashila,0.72,23.2,379.2,Unstable,2021,1.04
Krishnashila,0.79,20.1,752.6,Unstable,2022,0.98
Krishnashila,0.51,15.4,822.0,Stable,2023,1.91
Krishnashila,0.79,15.8,827.7,Unstable,2024,1.24
Ramagundam,0.23,17.6,772.7,Stable,2010,1.84
Ramagundam,0.22,22.4,691.5,Stable,2011,1.55
Ramagundam,0.54,21.9,683.4,Unstable,2012,0.96
Ramagundam,0.7,29.6,706.3,Unstable,2013,0.97
Ramagundam,0.62,30.3,895.5,Unstable,2014,1.12
Ramagundam,0.72,28.6,728.4,Stable,2015,1.55
Ramagundam,0.43,22.2,795.6,Stable,2016,1.91
Ramagundam,0.27,11.9,467.3,Unstable,2017,1.21
Ramagundam,0.42,23.2,397.6,Stable,2018,1.3
Ramagundam,0.61,12.1,787.3,Stable,2019,1.81
Ramagundam,0.5,25.5,859.1,Stable,2020,1.35
Ramagundam,0.34,14.8,351.2,Stable,2021,1.67
Ramagundam,0.31,17.0,443.7,Stable,2022,1.34
Ramagundam,0.33,21.2,446.3,Stable,2023,1.69
Ramagundam,0.3,34.5,704.8,Unstable,2024,0.9
Singareni,0.78,26.6,476.0,Stable,2010,1.34
Singareni,0.54,34.9,719.1,Stable,2011,1.55
Singareni,0.67,18.5,647.1,Stable,2012,1.69
Singareni,0.47,19.2,563.7,Stable,2013,1.39
Singareni,0.51,18.0,875.3,Stable,2014,1.43
Singareni,0.77,13.0,888.8,Stable,2015,1.77
Singareni,0.74,33.9,542.9,Stable,2016,1.99
